"Cell_Type","Gene","avg_log2FC","Pct_in_cluster","Pct_out_cluster","P_value","Adjusted_P_value"
"Endothelial cells","EGFL7",8.78261733251031,0.897,0.016,0,0
"Endothelial cells","CDH5",8.19046304679934,0.615,0.004,0,0
"Endothelial cells","SHANK3",8.73316678389256,0.561,0.002,0,0
"Endothelial cells","PECAM1",5.53416685499312,0.564,0.015,0,0
"Endothelial cells","NPDC1",3.25526858055325,0.719,0.172,0,0
"Fibroblasts","GFPT2",6.47172339939679,0.71,0.021,0,0
"Fibroblasts","IGFBP4",4.28788183057303,0.742,0.086,0,0
"Fibroblasts","C3",7.05528737883656,0.616,0.008,0,0
"Fibroblasts","RUNX1",2.75956302281455,0.763,0.156,0,0
"Fibroblasts","TNXB",4.32955675579459,0.688,0.091,0,0
"Lymphatic cells","IKZF1",4.75024478483766,0.465,0.032,0,0
"Lymphatic cells","AKNA",2.87744748432321,0.646,0.229,0,0
"Lymphatic cells","CORO1A",3.959190313888,0.451,0.051,0,0
"Lymphatic cells","ZAP70",8.08512273082273,0.376,0.003,0,0
"Lymphatic cells","ARHGEF1",2.44536362845323,0.639,0.285,0,0
"Myeloid cells","SLC11A1",6.6071690473196,0.704,0.026,0,0
"Myeloid cells","STAB1",6.11065960897434,0.71,0.051,0,0
"Myeloid cells","CYTH4",6.04911333058185,0.601,0.016,0,0
"Myeloid cells","CD163",6.45795788699681,0.565,0.027,0,0
"Myeloid cells","SPI1",6.23724358469016,0.55,0.018,0,0
"SMC1","PRKG1",1.21326297027421,0.772,0.511,0,0
"SMC1","MYH11",1.78211362735635,0.536,0.28,0,0
"SMC1","CALD1",1.52501040660509,0.759,0.536,0,0
"SMC1","SORBS1",1.56847046074722,0.564,0.342,0,0
"SMC1","CCN2",1.50685098867685,0.542,0.334,0,0
"SMC2","IGFBP2",2.52040826507633,0.86,0.189,0,0
"SMC2","CLU",2.33799916351356,0.905,0.248,0,0
"SMC2","DKK3",1.47886200086469,0.835,0.231,0,0
"SMC2","EMILIN1",2.13260505088379,0.744,0.152,0,0
"SMC2","LRP1",1.33422356015156,0.82,0.236,0,0
"SMC3","VEGFA",2.70023842403246,0.9,0.414,0,0
"SMC3","PLOD2",3.09714543595796,0.558,0.133,0,0
"SMC3","ADM",4.20342131956435,0.432,0.054,0,0
"SMC3","SLC2A1",3.07864811310223,0.468,0.114,0,0
"SMC3","BHLHE40",2.82889566146954,0.55,0.197,0,0
"SMC4","SERPINE1",2.12757608049339,0.677,0.258,0,0
"SMC4","IGFBP3",4.0591326227675,0.481,0.063,0,0
"SMC4","HMGA2",5.70016963785165,0.393,0.013,0,0
"SMC4","ITGA5",1.83154909984176,0.596,0.256,0,0
"SMC4","PRRX1",1.46380815522028,0.565,0.268,0,0
"SMC5","CXCL12",2.48350268236891,0.478,0.147,0,0
"SMC5","IGFBP4",3.32766532714036,0.404,0.075,0,0
"SMC5","PDGFRB",1.47568212156246,0.546,0.28,0,0
"SMC5","MICALL2",1.67731925753356,0.441,0.189,0,0
"SMC5","COL18A1",1.45851262364898,0.63,0.382,0,0
