"Presence_of_Thrombus","subtype","Cell_Count","Percentage"
"No","Endothelial cells",1570,1.85351341140914
"No","Fibroblasts",730,0.861824707215716
"No","Lymphatic cells",785,0.926756705704571
"No","Myeloid cells",9483,11.1954571212694
"No","SMC1",48786,57.5958632414054
"No","SMC2",11077,13.0773044956555
"No","SMC3",1354,1.59850774461655
"No","SMC4",7474,8.82366830374008
"No","SMC5",3445,4.06710426898375
"Yes","Endothelial cells",385,1.21149186569747
"Yes","Fibroblasts",76,0.2391516410208
"Yes","Lymphatic cells",1347,4.23864816388181
"Yes","Myeloid cells",4444,13.9840775354794
"Yes","SMC1",13501,42.4840303344976
"Yes","SMC2",15,0.047200981780421
"Yes","SMC3",5346,16.8224299065421
"Yes","SMC4",4953,15.585764183895
"Yes","SMC5",1712,5.38720538720539
