"Source","Target","Pathway","Probability","P_value","Condition"
"Endothelial cells","Endothelial cells","CDH5_CDH5",0.091717320403069,0,"AD"
"Fibroblasts","Endothelial cells","ANGPTL4_CDH5",0.0869296949570783,0,"AD"
"Endothelial cells","Endothelial cells","PECAM1_PECAM1",0.0777653720743045,0,"AD"
"SMC3","Endothelial cells","VEGFA_VEGFR1",0.0639623411997049,0,"AD"
"SMC4","Endothelial cells","ANGPTL4_CDH5",0.0368998557193164,0,"AD"
"Fibroblasts","Endothelial cells","VEGFA_VEGFR1",0.0362851160568264,0,"AD"
"SMC4","Endothelial cells","VEGFA_VEGFR1",0.0362760903440592,0,"AD"
"Myeloid cells","Endothelial cells","VEGFA_VEGFR1",0.0285038151443662,0,"AD"
"Endothelial cells","Endothelial cells","APP_CD74",0.0228117992787077,0,"AD"
"SMC2","Endothelial cells","JAG1_NOTCH1",0.021035422885752,0,"AD"
"SMC3","Endothelial cells","ADM_CALCRL",0.0122698337433758,0,"AD"
"SMC1","Endothelial cells","VEGFA_VEGFR1",0.0117017760729596,0,"AD"
"SMC2","Endothelial cells","CD99_CD99",0.0109026628839311,0,"AD"
"Lymphatic cells","Endothelial cells","VEGFA_VEGFR1",0.0106621881927715,0,"AD"
"SMC5","Endothelial cells","VEGFA_VEGFR1",0.00938202622193535,0,"AD"
"Fibroblasts","Endothelial cells","SEMA3C_PLXND1",0.00919006354873559,0,"AD"
"SMC2","Endothelial cells","VEGFA_VEGFR1",0.0078661878986158,0,"AD"
"Endothelial cells","Endothelial cells","PGF_VEGFR1",0.00692976882611251,0,"AD"
"Fibroblasts","Endothelial cells","ADM_CALCRL",0.00644422591580305,0,"AD"
"SMC2","Endothelial cells","APP_CD74",0.00635924032328002,0,"AD"
"Fibroblasts","Endothelial cells","APP_CD74",0.00616435025121852,0,"AD"
"SMC2","Endothelial cells","SEMA4C_PLXNB2",0.0060354673068081,0,"AD"
"Endothelial cells","Endothelial cells","EFNB2_EPHB4",0.00550015257225861,0,"AD"
"Endothelial cells","Endothelial cells","PTPRM_PTPRM",0.00544273922197957,0,"AD"
"Endothelial cells","Endothelial cells","CD99_CD99",0.00531712845005435,0,"AD"
"Endothelial cells","Endothelial cells","ESAM_ESAM",0.00493833320556787,0,"AD"
"Fibroblasts","Endothelial cells","TNFSF14_TNFRSF14",0.0046105670094177,0,"AD"
"Fibroblasts","Endothelial cells","CD99_CD99",0.00418936191109802,0,"AD"
"SMC2","Endothelial cells","VEGFB_VEGFR1",0.00377697891596522,0,"AD"
"Endothelial cells","Endothelial cells","CDH5_CDH5",0.163860834102009,0,"Normal"
"Endothelial cells","Endothelial cells","APP_CD74",0.116192762082667,0,"Normal"
"Endothelial cells","Endothelial cells","PECAM1_PECAM1",0.101093841702806,0,"Normal"
"SMC3","Endothelial cells","VEGFA_VEGFR1",0.0944879155790179,0,"Normal"
"SMC2","Endothelial cells","JAG1_NOTCH1",0.0816737136043266,0,"Normal"
"SMC4","Endothelial cells","ANGPTL4_CDH5",0.0664021658124428,0,"Normal"
"SMC4","Endothelial cells","VEGFA_VEGFR1",0.0509392064898291,0,"Normal"
"Endothelial cells","Endothelial cells","DLL1_NOTCH1",0.0390637391528845,0,"Normal"
"SMC2","Endothelial cells","VEGFA_VEGFR1",0.0389139700979463,0,"Normal"
"SMC2","Endothelial cells","APP_CD74",0.0382172094958752,0,"Normal"
"Endothelial cells","Endothelial cells","EFNB2_EPHB4",0.0369683295867945,0,"Normal"
"Endothelial cells","Endothelial cells","DLL4_NOTCH1",0.0357114720874683,0,"Normal"
"SMC5","Endothelial cells","JAG1_NOTCH1",0.0322348363101534,0,"Normal"
"Fibroblasts","Endothelial cells","APP_CD74",0.0195393416782367,0,"Normal"
"Fibroblasts","Endothelial cells","VEGFA_VEGFR1",0.0179118666871363,0,"Normal"
"Myeloid cells","Endothelial cells","VEGFA_VEGFR1",0.0172926539246012,0,"Normal"
"Fibroblasts","Endothelial cells","ANGPTL4_CDH5",0.0157160511143098,0,"Normal"
"SMC1","Endothelial cells","VEGFA_VEGFR1",0.0156219452345655,0,"Normal"
"SMC5","Endothelial cells","VEGFA_VEGFR1",0.0149586447855824,0,"Normal"
"Endothelial cells","Endothelial cells","PTPRM_PTPRM",0.0129554899931046,0,"Normal"
"Endothelial cells","Endothelial cells","ESAM_ESAM",0.0120370194737631,0,"Normal"
